n	even	odd	steps	cycles	latmin	latmax
16	4	0	4	9179.0	39	39
256	8	0	8	16606.3	76	77
4096	12	0	12	24084.3	113	114
32768	15	0	15	29648.0	140	143
32	5	0	5	11000.0	48	49
1024	10	0	10	20320.0	94	96
20480	16	1	17	33403.0	159	161
3584	20	5	25	48301.3	233	236
14592	30	10	40	76247.0	372	377
61504	40	15	55	104242.3	511	518
28704	50	22	72	135936.3	669	677
40288	60	28	88	165752.0	817	827
56496	70	34	104	195525.0	965	977
26482	80	41	121	227293.7	1123	1136
37167	90	47	137	257029.3	1272	1285
52207	100	53	153	286937.0	1421	1435
78	24	11	35	66944.0	326	330
51968	35	12	47	89296.3	437	443
111	45	24	69	130320.7	641	649
