n	even	odd	steps	cycles	latmin	latmax
16	4	0	4	11200.0	47	48
256	8	0	8	20686.3	94	96
4096	12	0	12	30150.0	142	143
32768	15	0	15	37247.0	177	179
32	5	0	5	13571.3	59	60
1024	10	0	10	25421.3	118	120
20480	16	1	17	42006.3	200	203
3584	20	5	25	60974.0	295	299
14592	30	10	40	96543.0	471	478
61504	40	15	55	132128.7	648	657
28704	50	22	72	172439.7	849	859
40288	60	28	88	210278.3	1037	1049
56496	70	34	104	248276.0	1227	1240
26482	80	41	121	288473.7	1427	1441
37167	90	47	137	326378.0	1617	1631
52207	100	53	153	364362.7	1806	1821
78	24	11	35	84670.3	412	418
51968	35	12	47	113091.7	554	561
111	45	24	69	165256.3	813	823
