a	b	k	ctzpre	main	ctzin	result	cycles	latmin	latmax
1	1	0	0	1	0	1	11798.33	36	36
3	3	0	0	1	0	3	11798.33	36	36
97	89	0	0	5	9	1	45542.33	215	218
255	254	0	1	8	13	1	66184.00	318	322
1023	1	0	0	10	9	1	61128.00	293	297
46341	46337	0	0	7	17	1	70079.67	337	341
999983	999979	0	0	11	21	1	91721.00	445	450
123456789	987654321	0	0	20	31	9	142748.00	698	707
1431655765	858993459	0	0	3	2	286331153	23278.00	104	106
2147483647	1	0	0	31	30	1	174796.33	858	868
1	2147483647	0	0	31	30	1	174803.33	858	868
2147483647	2147483646	0	1	31	59	1	243299.00	1199	1212
1024	1024	10	0	1	0	1024	37195.00	161	163
65536	32768	15	1	1	0	32768	52087.33	243	246
268435456	268435456	28	0	1	0	268435456	83060.33	389	394
1048576	3145728	20	0	2	1	1048576	68745.33	330	335
50331648	83886080	24	0	3	2	16777216	84346.00	408	413
3145728	5	0	20	3	2	1	66528.33	319	324
163840	7	0	15	3	3	1	58014.33	277	281
12	18	1	1	2	1	6	22493.00	101	102
48	18	1	3	2	1	6	26810.00	122	124
786432	262144	18	0	2	1	262144	63659.33	305	309
6291456	11	0	21	3	4	1	73300.33	353	358
2097152	1	0	21	1	0	1	57263.00	268	272
