op0	op1	rep	cycles	prepcyc	latmin	latmax
3	7	0	5400	3200	21	22	0x00078179
3	7	1	5400	3200	21	22	0x00078179
3	7	2	5400	3200	21	22	0x00078179
3	7	3	5400	3200	21	22	0x00078179
3	7	4	5400	3200	21	22	0x00078179
3	7	5	5400	3200	21	22	0x00078179
3	15	0	6600	3200	27	28	0x49e788d9
3	15	1	6600	3200	27	28	0x49e788d9
3	15	2	6600	3200	27	28	0x49e788d9
3	15	3	6600	3200	27	28	0x49e788d9
3	15	4	6600	3200	27	28	0x49e788d9
3	15	5	6600	3200	27	28	0x49e788d9
5	11	0	6600	3200	27	28	0xa6a2b14a
5	11	1	6600	3200	27	28	0xa6a2b14a
5	11	2	6600	3200	27	28	0xa6a2b14a
5	11	3	6600	3200	27	28	0xa6a2b14a
5	11	4	6600	3200	27	28	0xa6a2b14a
5	11	5	6600	3200	27	28	0xa6a2b14a
7	31	0	7800	3200	33	34	0x43cf1b68
7	31	1	7800	3200	33	34	0x43cf1b68
7	31	2	7800	3200	33	34	0x43cf1b68
7	31	3	7800	3200	33	34	0x43cf1b68
7	31	4	7800	3200	33	34	0x43cf1b68
7	31	5	7800	3200	33	34	0x43cf1b68
2	23	0	7800	3200	33	34	0x7f800000
2	23	1	7800	3200	33	34	0x7f800000
2	23	2	7800	3200	33	34	0x7f800000
2	23	3	7800	3200	33	34	0x7f800000
2	23	4	7800	3200	33	34	0x7f800000
2	23	5	7800	3200	33	34	0x7f800000
11	9	0	6600	3200	27	28	0xfd5dc262
11	9	1	6600	3200	27	28	0xfd5dc262
11	9	2	6600	3200	27	28	0xfd5dc262
11	9	3	6600	3200	27	28	0xfd5dc262
11	9	4	6600	3200	27	28	0xfd5dc262
11	9	5	6600	3200	27	28	0xfd5dc262
3	1	0	3000	3200	9	9	0x00000101
3	1	1	3000	3200	9	9	0x00000101
3	1	2	3000	3200	9	9	0x00000101
3	1	3	3000	3200	9	9	0x00000101
3	1	4	3000	3200	9	9	0x00000101
3	1	5	3000	3200	9	9	0x00000101
9	27	0	7800	3200	33	34	0xac5d7977
9	27	1	7800	3200	33	34	0xac5d7977
9	27	2	7800	3200	33	34	0xac5d7977
9	27	3	7800	3200	33	34	0xac5d7977
9	27	4	7800	3200	33	34	0xac5d7977
9	27	5	7800	3200	33	34	0xac5d7977
