n	outer	inner	result	cycles	latmin	latmax
2	0	0	1	3400.0	10	10
3	0	0	1	3400.0	10	10
4	1	3	0	11889.3	47	48
9	2	8	0	25902.3	117	118
15	2	10	0	29376.3	134	136
25	4	24	0	64351.7	307	312
35	4	28	0	71286.7	342	347
49	6	44	0	109696.0	533	540
121	10	86	0	203932.3	1002	1014
143	10	92	0	214424.7	1054	1066
169	12	112	0	259753.7	1280	1293
289	16	168	0	378105.3	1871	1885
1000	1	17	0	36203.3	168	170
5000	1	23	0	46614.7	219	222
60000	1	29	0	57052.3	271	275
1009	30	374	1	812415.3	4037	4052
2003	43	577	1	1234110.0	6148	6159
4001	62	908	1	1910085.0	9524	9542
7919	87	1353	1	2815941.7	14052	14073
10007	99	1577	1	3268807.0	16313	16343
65521	254	4798	1	9683720.7	48373	48422
99991	315	6111	1	12285548.7	61381	61448
47	5	35	1	90715.3	433	439
97	8	70	1	167452.0	815	825
