# hw/loop_cost.sh, 2026-08-24, 100 MHz measurement clock, FIXED N=200/point, oracle asserted
# --- ipow ---
iters	latmin	latmax	result	sig
1	9	9	3	0x00000101
2	15	15	27	0x00000909
4	27	28	14348907	0x49e788d9
6	39	40	2111105451	0x6714c1b2
8	51	52	40216235	0xdd410498
12	76	77	2094688939	0x9d9040b2
16	100	101	1302768299	0x590400a2
20	124	125	3664423595	0x904000d0
24	148	150	2796202667	0x040000fb
28	172	175	1789569707	0x400000bf
31	190	193	2863311531	0x000000ff
# --- collatz ---
iters	latmin	latmax	result	sig
1	11	11	1	0x000000ff
2	20	20	2	0x000001fe
4	39	39	4	0x000003fc
6	57	58	6	0x00000202
8	76	77	8	0x000007f8
10	94	96	10	0x00000606
12	113	114	12	0x00000404
14	131	133	14	0x000005fa
15	141	142	15	0x00000505
# --- collatz64 ---
iters	latmin	latmax	result	sig
1	12	12	1	0x000000ff
2	24	24	2	0x000001fe
4	47	48	4	0x000003fc
8	94	96	8	0x000007f8
12	142	144	12	0x00000404
16	189	191	16	0x00000ff0
20	236	239	20	0x00000c0c
24	283	287	24	0x00000808
28	330	334	28	0x00000bf4
30	353	358	30	0x00000a0a
