kernel	prog	rep	cycles	prepcyc	latmin	latmax	sig
xorshift	0	0	19748	3200	93	95	0x03dba483
xorshift	0	1	19737	3200	93	94	0x03dba483
xorshift	0	2	19741	3200	93	94	0x03dba483
xorshift	0	3	19735	3200	93	94	0x03dba483
xorshift	0	4	19736	3200	93	95	0x03dba483
xorshift	0	5	19737	3200	93	94	0x03dba483
xorshift	0	6	19735	3200	93	94	0x03dba483
xorshift	0	7	19738	3200	93	94	0x03dba483
xorshift	1	0	19733	3200	93	95	0x03dba483
xorshift	1	1	19737	3200	93	94	0x03dba483
xorshift	1	2	19734	3200	93	94	0x03dba483
xorshift	1	3	19733	3200	93	95	0x03dba483
xorshift	1	4	19744	3200	93	94	0x03dba483
xorshift	1	5	19741	3200	93	95	0x03dba483
xorshift	1	6	19748	3200	93	95	0x03dba483
xorshift	1	7	19749	3200	93	94	0x03dba483
xorshift	2	0	19736	3200	93	94	0x03dba483
xorshift	2	1	19738	3200	93	94	0x03dba483
xorshift	2	2	19735	3200	93	95	0x03dba483
xorshift	2	3	19747	3200	93	95	0x03dba483
xorshift	2	4	19741	3200	93	94	0x03dba483
xorshift	2	5	19743	3200	93	94	0x03dba483
xorshift	2	6	19739	3200	93	95	0x03dba483
xorshift	2	7	19748	3200	93	95	0x03dba483
xorshift	3	0	19739	3200	93	94	0x03dba483
xorshift	3	1	19741	3200	93	94	0x03dba483
xorshift	3	2	19738	3200	93	94	0x03dba483
xorshift	3	3	19737	3200	93	94	0x03dba483
xorshift	3	4	19741	3200	93	94	0x03dba483
xorshift	3	5	19735	3200	93	95	0x03dba483
xorshift	3	6	19736	3200	93	95	0x03dba483
xorshift	3	7	19737	3200	93	94	0x03dba483
ipow	0	0	5400	3200	21	22	0x00078179
ipow	0	1	5400	3200	21	22	0x00078179
ipow	0	2	5400	3200	21	22	0x00078179
ipow	0	3	5400	3200	21	22	0x00078179
ipow	0	4	5400	3200	21	22	0x00078179
ipow	0	5	5400	3200	21	22	0x00078179
ipow	0	6	5400	3200	21	22	0x00078179
ipow	0	7	5400	3200	21	22	0x00078179
ipow	1	0	5400	3200	21	22	0x00078179
ipow	1	1	5400	3200	21	22	0x00078179
ipow	1	2	5400	3200	21	22	0x00078179
