gap	rep	cycles	prepcyc	latmin	latmax
0	0	19738	200	93	94	0x03dba483
0	1	19744	200	93	95	0x03dba483
0	2	19746	200	93	95	0x03dba483
1	0	19742	400	93	94	0x03dba483
1	1	19731	400	93	94	0x03dba483
1	2	19740	400	93	95	0x03dba483
2	0	19738	600	93	94	0x03dba483
2	1	19738	600	93	94	0x03dba483
2	2	19746	600	93	95	0x03dba483
4	0	19740	1000	93	95	0x03dba483
4	1	19748	1000	93	95	0x03dba483
4	2	19747	1000	93	95	0x03dba483
8	0	19745	1800	93	94	0x03dba483
8	1	19745	1800	93	95	0x03dba483
8	2	19742	1800	93	95	0x03dba483
15	0	19749	3200	93	95	0x03dba483
15	1	19750	3200	93	94	0x03dba483
15	2	19749	3200	93	95	0x03dba483
31	0	19736	6400	93	94	0x03dba483
31	1	19750	6400	93	95	0x03dba483
31	2	19746	6400	93	95	0x03dba483
63	0	19740	12800	93	94	0x03dba483
63	1	19743	12800	93	95	0x03dba483
63	2	19740	12800	93	95	0x03dba483
127	0	19742	25600	93	94	0x03dba483
127	1	19737	25600	93	94	0x03dba483
127	2	19743	25600	93	94	0x03dba483
