# xorshift ucmpi1 matched-delay shmoo, 2026-08-23, NEXTPNR_SEED=1,
# xc7z010clg400-1 on an EBAZ4205, bench clock 83.3 MHz (0x00100C00).
# Produced by hw/shmoo_ucmpi1.sh.  Margins come from each build's own
# routed SDF; verdicts are one board run, with n=10/9/8/7 re-run 3x
# (FAIL/PASS/FAIL/PASS, stable).  See hw/README.md for what this does
# and does not establish -- in particular there is no clean control.
n	links	chain_ps	ps_link	req	peak	guard	margin	slack	worst	w_margin	w_slack	nviol	verdict	sig	cycles	latmin	latmax
18	18	6557	364	6981	6271	1254	-544	710	ucmpi1	-544	710	3	PASS	0x03dba483	16726417	74	75
16	16	6749	421	7607	5050	1010	1547	2557	ucmpi0	-19	1221	2	PASS	0x03dba483	16555612	73	74
14	14	5416	386	6375	5084	1016	275	1291	uaddi0	214	947	0	PASS	0x03dba483	16787679	74	75
12	12	6378	531	6802	4711	942	1149	2091	ucontrol_merge0	87	352	0	PASS	0x03dba483	15538029	69	70
10	10	3277	327	4701	4073	814	-186	628	ucmpi1	-186	628	1	FAIL	0x1a9a2cac	-	4	4
9	9	2706	300	3130	4635	927	-2432	-1505	ucmpi1	-2432	-1505	2	PASS	0x03dba483	14479683	65	66
8	8	2702	337	3561	4378	875	-1692	-817	ucmpi1	-1692	-817	1	FAIL	0x03dba483	-	60	61
7	7	1913	273	2754	5198	1039	-3483	-2444	ucmpi1	-3483	-2444	1	PASS	0x03dba483	14325470	64	65
6	6	2624	437	3843	4506	901	-1564	-663	ucmpi1	-1564	-663	1	PASS	0x03dba483	13826025	63	63
5	5	1700	340	2767	4048	809	-2090	-1281	ucmpi1	-2090	-1281	2	PASS	0x03dba483	13474650	61	61
4	4	946	236	1796	5132	1026	-4362	-3336	ucmpi1	-4362	-3336	2	FAIL	-	-	-	-
3	3	672	224	1799	5021	1004	-4226	-3222	ucmpi1	-4226	-3222	1	FAIL	-	-	-	-
2	2	398	199	1892	4041	808	-2957	-2149	ucmpi1	-2957	-2149	1	FAIL	-	-	-	-
