# xorshift per-iteration cost, hw/trip_sweep.sh, 2026-08-24, 100 MHz measurement clock
# FIXED N=200 per point, result oracle asserted at every point
# seed=2463534242 (the C kernel's own main() vector)
rounds	latmin	latmax	result	sig
0	6	6	2463534242	0xc3c9e5ef
1	9	9	723471715	0x13ce1a38
2	14	14	2497366906	0xc5f090a5
4	24	24	2008045182	0x42a21807
8	44	44	691148861	0xf6e61cf3
16	83	84	2495235968	0xe5ab42f3
32	162	165	4258081829	0xefa0f8b7
64	321	325	2925282192	0xae0ab115
128	639	647	1854283710	0xa7889f4f
256	1275	1288	3442553535	0xabfe84d1
# control sweep, seed=1 -- same rig, different data sequence
rounds	latmin	latmax	result	sig
0	6	6	1	0x000000ff
1	9	9	270369	0x03e3ff1f
2	14	14	67634689	0xfbfa02fc
4	24	24	307599695	0x3d444dcb
8	44	44	435756210	0xa05c9a66
16	83	84	3385103793	0x04cf1c28
32	163	165	3412600852	0x9ec0144a
64	321	325	932611783	0x9f0fc0af
128	638	647	2144056621	0x93d58831
256	1275	1287	1424859452	0x973b8b27
# clock sweep, CLK_CTRL=0x00100C00
rounds	latmin	latmax	result	sig
0	6	6	2463534242	0xc3c9e5ef
1	8	8	723471715	0x13ce1a38
2	12	12	2497366906	0xc5f090a5
4	20	21	2008045182	0x42a21807
8	37	37	691148861	0xf6e61cf3
16	70	71	2495235968	0xe5ab42f3
32	136	138	4258081829	0xefa0f8b7
64	268	272	2925282192	0xae0ab115
128	532	539	1854283710	0xa7889f4f
256	1062	1073	3442553535	0xabfe84d1
# clock sweep, CLK_CTRL=0x00101400
rounds	latmin	latmax	result	sig
0	5	5	2463534242	0xc3c9e5ef
1	7	7	723471715	0x13ce1a38
2	9	9	2497366906	0xc5f090a5
4	14	14	2008045182	0x42a21807
8	24	24	691148861	0xf6e61cf3
16	43	44	2495235968	0xe5ab42f3
32	83	84	4258081829	0xefa0f8b7
64	162	164	2925282192	0xae0ab115
128	321	325	1854283710	0xa7889f4f
256	639	645	3442553535	0xabfe84d1
