rounds	cycles	latmin	latmax	result
0	2200.00	6	6	2463534242
1	2800.00	9	9	723471715
2	3800.00	14	14	2497366906
3	4800.00	19	19	2064144800
4	5800.00	24	24	2008045182
6	7800.00	34	34	374114282
8	9800.00	44	44	691148861
12	13783.00	63	64	3149294349
16	17749.33	83	85	2495235968
24	25741.67	123	125	101148280
32	33747.00	163	165	4258081829
48	49698.00	242	245	2678912195
64	65664.33	321	326	2925282192
96	97592.67	480	486	3245546148
128	129539.00	638	647	1854283710
192	193372.00	956	967	1491591160
256	257198.67	1274	1288	3442553535
