rounds	cycles	latmin	latmax	result
0	2600.00	7	7	2463534242
1	4592.33	14	14	723471715
2	6561.33	24	24	2497366906
3	8536.67	34	34	2064144800
4	10522.00	44	44	2008045182
6	14513.67	63	64	374114282
8	18508.00	83	85	691148861
12	26501.33	123	125	3149294349
16	34488.00	163	165	2495235968
24	50487.67	242	246	101148280
32	66460.33	321	326	4258081829
48	98415.67	480	487	2678912195
64	130352.33	639	647	2925282192
96	194280.33	957	968	3245546148
128	258211.67	1276	1289	1854283710
192	386140.33	1915	1929	1491591160
256	513838.33	2556	2566	3442553535
