rounds	cycles	latmin	latmax	result
0	2400.00	7	7	2463534242
1	4400.00	13	13	723471715
2	6399.67	23	23	2497366906
3	8279.00	33	33	2064144800
4	10212.33	42	43	2008045182
6	14118.67	62	62	374114282
8	18021.67	81	82	691148861
12	25791.33	120	121	3149294349
16	33578.67	158	160	2495235968
24	49132.67	235	239	101148280
32	64695.00	313	317	4258081829
48	95793.00	467	474	2678912195
64	126938.67	622	630	2925282192
96	189154.33	931	943	3245546148
128	251418.33	1242	1255	1854283710
192	375791.67	1863	1877	1491591160
256	500366.00	2488	2498	3442553535
