rounds	cycles	latmin	latmax	result
0	2400.00	7	7	2463534242
1	2800.00	9	9	723471715
2	3800.00	14	14	2497366906
3	4634.00	18	19	2064144800
4	5600.00	23	23	2008045182
6	7400.00	32	32	374114282
8	9239.67	41	42	691148861
12	12930.33	59	60	3149294349
16	16585.67	77	79	2495235968
24	23902.67	114	115	101148280
32	31232.67	150	152	4258081829
48	45896.00	223	226	2678912195
64	60551.00	296	300	2925282192
96	89822.00	441	447	3245546148
128	119142.00	587	595	1854283710
192	177685.33	878	889	1491591160
256	236290.67	1170	1183	3442553535
