rounds	cycles	latmin	latmax	result
0	2382.67	6	7	2463534242
1	2800.00	9	9	723471715
2	3992.00	14	15	2497366906
3	4990.00	19	20	2064144800
4	5981.67	24	25	2008045182
6	7982.00	34	35	374114282
8	9980.67	44	45	691148861
12	13978.33	64	65	3149294349
16	17981.67	84	86	2495235968
24	26042.33	124	126	101148280
32	34064.00	164	166	4258081829
48	50139.00	244	247	2678912195
64	66226.00	324	328	2925282192
96	98389.00	484	490	3245546148
128	130545.00	643	652	1854283710
192	194849.67	964	975	1491591160
256	259137.00	1284	1298	3442553535
